Domizil;Beobachtungseinheit;Art;Geschlecht;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Wohnsitzstaat - Total;Anzahl Renten;Zusatzrenten für Ehepartner;Frauen;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;25'311;29'910;31'029;31'620;33'238;33'483;…;…;…;…;…;31'597;32'155;32'427;33'939;37'785;46'343;53'492;53'023;50'811;48'740;47'751;47'767;47'596;46'733;45'528;45'606;45'696;46'214;46'340;46'681;47'964;50'044;51'213;52'235;54'176;55'460;63'913;61'491;55'822;48'168;52'176;53'779;54'033;51'110;48'028;45'060;42'411;39'751;37'282;34'953;32'525;30'184;27'857;25'509;23'196;20'947;18'584;16'204;14'103
Wohnsitzstaat - Total;Anzahl Renten;Zusatzrente für Kinder (Vater);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;11'469;10'789;11'507;12'342;13'104;13'941;15'074;16'119;17'376;18'479;19'268;20'121;21'140;22'084;23'101;23'706;24'526;25'260;26'241;27'365;28'392;28'922;29'887
Wohnsitzstaat - Total;Anzahl Renten;Zusatzrente für Kinder (Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;1'508;1'304;1'289;1'388;972;956;1'013;1'031;1'068;1'096;1'166;1'269;1'410;1'549;1'573;1'599;1'674;1'780;1'913;2'109;2'267;2'325;2'448
Wohnsitzstaat - Total;Anzahl Renten;Zusatzrente für Kinder (Vater oder Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;8'897;11'847;12'901;13'634;14'237;14'450;…;…;…;…;…;16'415;16'998;17'025;16'926;17'282;17'087;16'745;16'306;15'974;15'699;15'226;15'147;15'026;14'564;13'916;13'376;12'678;12'280;11'933;10'617;11'127;10'915;10'782;11'161;11'453;11'908;12'977;12'093;12'796;13'730;14'076;14'897;16'087;17'150;18'444;19'575;20'434;21'390;22'550;23'633;24'674;25'305;26'200;27'040;28'154;29'474;30'659;31'247;32'335
Wohnsitzstaat - Total;Anzahl Renten;Zusatzrente für Kinder (doppelt);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1'785;3'429;4'386;4'926;5'262;5'521;…;…;…;…;…;304;307;332;289;325;324;295;263;250;280;245;256;247;238;249;227;215;195;195;182;203;200;176;115;85;68;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Wohnsitzstaat - Total;Anzahl Renten;Witwer/Witwe;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1'632;1'988;2'154;2'320;2'335;2'413;2'413;2'464;2'472;2'504;2'435;2'388;2'336;2'292;2'287;2'204;2'192;2'122;2'080;2'030;1'991;1'946;1'951;1'966;1'946;2'019;3'416
Wohnsitzstaat - Total;Anzahl Renten;Witwer/Witwe;Frauen;38'459;42'423;45'370;54'501;58'901;61'927;65'399;67'434;82'104;71'359;71'502;73'098;71'444;63'067;70'857;70'337;63'089;63'409;63'300;63'313;64'294;64'085;…;…;…;…;…;63'387;62'953;62'210;63'401;67'705;69'336;71'653;73'317;74'345;74'672;75'081;75'230;75'188;75'202;74'910;74'651;74'063;73'700;72'858;71'262;71'851;71'704;71'617;72'648;75'109;77'395;83'950;86'288;88'967;92'284;99'814;103'529;107'296;110'805;114'581;118'331;122'395;126'540;131'151;135'865;140'979;146'062;151'358;156'808;162'487;167'788;173'899;179'413;184'249
Wohnsitzstaat - Total;Anzahl Renten;Waise (Vater);Total;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;32'363;31'881;31'625;31'484;31'329;30'836;30'670;30'168;30'142;29'698;29'047;28'336;27'734;27'128;26'628;25'889;25'282;24'798;24'304;24'044;24'095;23'486;23'111
Wohnsitzstaat - Total;Anzahl Renten;Waise (Mutter);Total;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;9'073;9'063;8'991;9'086;9'079;9'170;9'100;8'952;8'797;8'691;8'626;8'512;8'311;8'167;8'005;7'816;7'658;7'495;7'340;7'230;7'150;7'043;6'993
Wohnsitzstaat - Total;Anzahl Renten;Waise (einfach);Total;24'734;27'835;30'597;36'005;38'327;40'466;41'460;42'615;45'119;51'536;54'323;56'536;56'216;47'497;57'102;55'882;56'452;57'005;56'748;57'115;57'016;57'259;…;…;…;…;…;59'087;58'656;59'523;59'399;62'451;61'406;61'532;61'041;60'664;59'519;57'675;55'604;53'388;51'525;49'358;47'211;45'414;44'180;43'201;40'854;41'968;41'853;41'133;41'142;41'670;41'856;41'436;40'944;40'616;40'570;40'408;40'006;39'770;39'120;38'939;38'389;37'673;36'848;36'045;35'295;34'633;33'705;32'940;32'293;31'644;31'274;31'245;30'529;30'104
Wohnsitzstaat - Total;Anzahl Renten;Waise (doppelt);Total;1'807;1'937;1'943;2'074;2'147;2'152;2'051;2'045;2'125;2'166;2'219;2'247;2'108;1'641;2'030;1'958;1'915;1'923;1'925;2'028;1'988;1'904;…;…;…;…;…;1'547;1'539;1'517;1'409;1'523;1'497;1'559;1'551;1'567;1'490;1'464;1'414;1'357;1'261;1'166;1'061;1'017;968;956;904;934;932;937;833;696;595;458;395;335;284;232;196;156;138;111;94;82;61;55;46;41;36;34;35;38;32;26;30;31
Schweiz;Renten-Mittelwert in Franken;Altersrente;Männer;37;37;40;42;43;45;56;57;62;70;72;74;78;111;103;105;154;156;159;177;180;244;…;…;…;…;…;695;701;740;744;749;791;798;902;903;1'008;1'009;1'055;1'056;1'101;1'102;1'177;1'178;1'326;1'407;1'407;1'452;1'453;1'495;1'501;1'521;1'526;1'596;1'598;1'638;1'638;1'675;1'677;1'725;1'725;1'780;1'782;1'817;1'817;1'833;1'832;1'839;1'838;1'837;1'836;1'850;1'849;1'863;1'862;1'908
